name:en,addr:street,addr:housenumber,category,geometry
Odesa-Zakhidna,,,Transport Hub,POINT (30.6535539 46.4436583)
Silpo,,,Mall / Supermarket,POINT (30.714448300000004 46.414953)
Tavria V,,,Mall / Supermarket,POINT (30.724395000000005 46.3983613)
,,,Mall / Supermarket,POINT (30.777090800000003 46.56552549999999)
Kopiika,проспект Князя Володимира Великого,71/1,Mall / Supermarket,POINT (30.778761299999992 46.5728023)
Silpo,,,Mall / Supermarket,POINT (30.801659199999996 46.58245459999999)
Odesa-Poizna,,,Transport Hub,POINT (30.7084709 46.453638299999994)
Odesa-Zastava II,,,Transport Hub,POINT (30.68599259999999 46.4659986)
AlfaGravity,,,Sport Facility,POINT (30.7714886 46.44240039999999)
Odesa-Sortuvalna,,,Transport Hub,POINT (30.754747399999992 46.554253100000004)
Odesa-Peresyp,,,Transport Hub,POINT (30.7260172 46.52452579999999)
,,,Mall / Supermarket,POINT (30.747326 46.38987850000001)
,,,Office / Business Center,POINT (30.74276 46.4442501)
Kosmos,Генуезька вулиця,,Mall / Supermarket,POINT (30.757921700000004 46.4394539)
Tavria V,,,Mall / Supermarket,POINT (30.735509999999998 46.48261480000001)
Tavria V,,,Mall / Supermarket,POINT (30.708715099999992 46.396384999999995)
Silpo,,,Mall / Supermarket,POINT (30.7275534 46.4296895)
Tavria V,Дерибасівська вулиця,21,Mall / Supermarket,POINT (30.737494099999996 46.483997499999994)
TavriaV,,,Mall / Supermarket,POINT (30.748037099999998 46.44933219999999)
Tavria-V,,,Mall / Supermarket,POINT (30.7257555 46.42785020000001)
TavriaV,,,Mall / Supermarket,POINT (30.7243016 46.431602100000006)
TavriaV,Варненська вулиця,6,Mall / Supermarket,POINT (30.716825100000005 46.4262734)
TavriaV,вулиця Космонавтів,38,Mall / Supermarket,POINT (30.711776900000004 46.4290055)
Tavria V,проспект Князя Володимира Великого,123,Mall / Supermarket,POINT (30.788565699999996 46.5853609)
Tavria V,вулиця Академіка Вільямса,9а,Mall / Supermarket,POINT (30.7241637 46.390967399999994)
TavriaV,Колонтаївська вулиця,8/1,Mall / Supermarket,POINT (30.719708500000003 46.4760231)
Tavria-V,вулиця Новосельського,46а,Mall / Supermarket,POINT (30.720743899999995 46.4867165)
TavriaV,Пироговська вулиця,3,Mall / Supermarket,POINT (30.753373700000004 46.46379739999999)
Tavria V,проспект Шевченка,15/3,Mall / Supermarket,POINT (30.753780799999994 46.454031)
Tavria V,Комітетська вулиця,17/19,Mall / Supermarket,POINT (30.717146899999996 46.4701316)
,,,Mall / Supermarket,POINT (30.714745700000005 46.4423386)
Silpo,,,Mall / Supermarket,POINT (30.7172844 46.441113)
,,,Sport Facility,POINT (30.704560799999992 46.4838112)
