review,rating,date,lang
Who's idea was it to have the courier being the one to confirm delivery. Make sure you pay after delivery.,1,2025-06-16T22:46:34,en
The refund procedure and execution is very poor. They also have poor customer service and error resolution. Compensation packages are abysmal and not executed properly. Order at your discretion.,1,2025-06-16T22:00:57,en
Don't bother using this app. The driver will run off with your food and no one will be held accountable,1,2025-06-16T21:56:54,en
good,4,2025-06-16T21:40:00,so
"U nekoliko situacija sam cekala na narudzbu po dva i po sata. Na zalost placeno je karticom, pa nisam mogla ponistiti narudzbu. Bila sam ubsituaciji gdje sam imala goste, narucila hranu iz restorana i stiglo je nakon dva sata. uzas i neprofesionalnost. Def ukidam njihovu aplikaciju i nikad nista vise ne narucujem oreko njih.",1,2025-06-16T21:14:33,hr
poor package,5,2025-06-16T21:03:26,nl
"تجربتي مع Glovo كانت سيئة جدًا! طلبت أغراض من كارفور والدفع عند الاستلام، لكن وصلتني الأغراض بسعر مضاعف وبعضها ناقص، لذلك أرجعت الطلب فورًا. وبعدها سحبوا فلوس من بطاقتي بدون إذني! تواصلت معهم ورفضوا يرجعوا المبلغ. التطبيق غير آمن، لا أنصح به. My experience with Glovo was terrible! I ordered from Carrefour with cash on delivery, but the items arrived overpriced and incomplete, so I returned the order immediately. Later, they charged my card without permission! they refused to refund me",1,2025-06-16T20:47:24,en
"garbage app, refunds take so long",1,2025-06-16T19:05:37,no
"I had an account, but was logged out (or maybe I never logged in on the new phone, not sure). Tried to login, phone number verified, but the app ""can't use this type of authentication"". Tried my email but it's called impossible to use as well. Then I tried a new email and finally was logged in but with that new account. I don't need new account, so I requested to delete it in the app form, but received email ""This email conversation is no longer active"". So I can't login and can't delete acc.",1,2025-06-16T17:52:11,en
I have placed 2 orders without changing the address and 1 arrived at the right one and the other one went somewhere else. They cancelled the order that went to the other address and charged me on the credit card that was connected to the app that wasn't mine and that I got fired for using. The app didn't even give me a choice to charge from another one. I have called support and both person on the phone and in live chats were very polite and it isn't their fault but the companies.,1,2025-06-16T15:02:35,en
best thing since sliced bread 👍🏻,5,2025-06-16T15:02:19,en
"Worst service in Croatia. use Bolt, much better and honest company.",1,2025-06-16T14:19:17,en
why is there no transfer option on your app or a wallet where one can deposit money and deduct it to pay order? there's nowhere to discuss with a sales rep. What type of useless app is this.,1,2025-06-16T12:57:19,en
"kindly don't try this app, everything about it is bad.",1,2025-06-16T12:30:51,en
Pourquoi les coursiers ne montent pas pour livrer les commandes à la porte ? Ne sont-ils pas censés le faire ? Vraiment aucune considération pour les clients. Triste...,1,2025-06-16T01:48:18,fr
"Ukrali novce, rekli su da će refundirati krivu narudžbu, a novci nikad nisu stigli. O katastrofalnoj usluzi i o pohlepi se može danima pričati",1,2025-06-15T20:56:34,hr
It's affordable and nice,5,2025-06-15T20:30:25,en
They took money out of my card even though I didn't order anything nor have a prime account. Made a complaint but no news so far.,1,2025-06-15T18:24:06,en
"В вашем приложении вечно пропадает уже набранный заказ, это очень неудобно, неужели нельзя его сохранять хотя бы локально на диске или в облаке, да хоть где-нибудь? Да и тоже запускается по нескольку минут. Приложение полностью сносил и удалял весь кеш, не помогает. И стандартный ответ отправьте письмо с подробностями... С какими подробностями? Все написано ведь. Вы приложение тестируете? Вот вам шаги для воспроизведения, хотя как это можо не заметить при тестировании непонятно. Наберите корзину",1,2025-06-15T18:19:48,ru
"didn't receive my food, refund refused. first and last time using. even tipped 10%. huge regret.",1,2025-06-15T18:12:07,en
very slow delivery I ordered KFC and it took one and half hour to come for other purposes the app is fine,3,2025-06-15T17:34:00,en
it's good and the taste of food is ok as always but the challenge is with the locations on the map. the Abuloma ozuboko areas of Port Harcourt are not properly covered. please work on this.,3,2025-06-15T17:24:41,en
უბანძესი მიტანის სერვისი აქვთ. არასდროს არ ჰყავთ კურიერები და როცა მოდის შეკვეთა ლამის უკვე ვადაგასულია,1,2025-06-15T17:24:33,et
very fast,4,2025-06-15T16:48:22,en
Glovo is criminal app that everyone in Nigeria should avoid. Scamming people off their money and never render any service,1,2025-06-15T16:19:16,en
"greedy bastards that offer a paid service, with a paid subscription on top, and still push ads in your face in the app.",1,2025-06-15T16:10:06,en
"worst delivery app, first time using it and am super disappointed.The delay is something else.Uninstalling it ASAP .Can't recommend 🚩",1,2025-06-15T15:53:40,en
Best 👌,5,2025-06-15T14:56:18,de
ok,5,2025-06-15T11:48:07,sk
"I have been trying to connect my card, both verve and Mastercard, it keeps telling me unsupported, please fix.",1,2025-06-15T09:08:07,en
"I can't order anything because app says ""not enough funds available"" while i have enough funds and the right card is selected",1,2025-06-15T01:49:05,en
Rude riders/delivery personnel...would not recommend,1,2025-06-14T22:46:53,nl
good indian food with delhi wala taste,5,2025-06-14T21:43:46,en
"they are cheating with you. First, they say 20 to 30 minutes after that they take time 1 to 1.5 hours...",1,2025-06-14T21:41:56,en
terrible and worst company ever you'll always get scam by having to pay expensive delivery fees compared to the value of your order in the country,1,2025-06-14T19:45:13,en
servi ciu de calitate. rapid,5,2025-06-14T19:13:05,ro
"хорошая компания, все скоординировано, даже если курьер не доставил заказ, возвращают деньги.",5,2025-06-14T18:46:25,ru
tell them to deliver the good things,5,2025-06-14T18:36:33,en
there is always something missing from the orders and they will not refund the full amount of what is missing,1,2025-06-14T18:04:13,en
"Terrible experience, literally! It used to be good (perhaps, been using it for about 3 years), but then they just couldn't handle order demands anymore. It's either they're super late (no in between), or the order is incomplete, and they just wouldn't refund it (based on my experience, multiple times). I had to write here because they don't have a reviews section in the app, I recommend you just order straight from restaurants' delivery.",1,2025-06-14T16:47:19,en
great aroma nice taste,5,2025-06-14T16:40:11,ro
"Glovo provides an excellent service that is unmatched to date, IMO. I stand to be corrected.",5,2025-06-14T16:23:06,en
👌,5,2025-06-14T15:28:48,unknown
Good job,5,2025-06-14T14:39:57,so
the most worst customer service!! i subscribed to glovo prime by mistake and i contacted the customer service to help me with cancelation and refund in the same moment ...what i heard from them is you can cancel yourself and we cannot refund you! this is really frustrating big company cannot refund you a small amount imagine!!,1,2025-06-14T13:17:52,en
really good alternative to the uk delivery sites.,5,2025-06-14T12:19:54,en
excellent,5,2025-06-14T11:56:50,ca
loved it,5,2025-06-14T11:05:41,sl
excellent,5,2025-06-14T06:44:53,ca
"Why does Glovo allow an order to be canceled even after confirmation, if there is no refund process in place??? When I canceled the order, the app clearly said that the amount would be refunded. Is it acceptable for me to lose money without receiving anything in return? Isn’t it possible to at least offer credit to the user’s account or request a free replacement order from the restaurant? Why is a company like Glovo, with all its reputation, unable to handle such situations more fairly?",1,2025-06-14T00:15:52,en
"Incompetence of couriers who pretend to forget the door numbers and cancel the delivery while wandering around the the same building even though the address is clearly written... Courier also lied to my face saying he tried to do everything when he didn't even tried to ring the bell... Very slow and delayed support, I will cancel my subscription, it's not worth it... Very disappointed.",1,2025-06-13T21:57:25,en
"This is not about the app but about the experience. Lately Glovo is just... not good, with couriers never finding the delivery location, with orders delayed for more than 1h, with cold food after the couriers ""waited"" to pick up the order .. across the town. Not to mention a 202 ron fee to cancel an 1h+ delayed order in value of 217 ron that magically disappeared when the case was escalated. well done Glovo, well done.",1,2025-06-13T21:14:48,en
best,5,2025-06-13T20:24:32,af
"This app does not work properly for most of the time. Stores first are open, then for some reason when you try to order appear close... Just to be open a minute later. This is such a joke, dumb fees, high delivery prices while you can't even rate the delivery service. This fluctuation on if a store is open or not is almost all the time. I wonder if this would be an issue if one gets the glovo prime...",1,2025-06-13T20:04:29,en
"AWFUL I WOULD RATHER WALK 5 KM TO GET MC, I ordered mc AND THEY DIDNT EVEN COME, PLS DONT BUY AWFUL AWFUL THE WORST WORST BAD BAD BAD",1,2025-06-13T19:19:16,en
"приложението няма алергени, но продава на во високи цени от конкуренцията",2,2025-06-13T18:04:47,bg
"Excellent app, trusted and recommended to all.",5,2025-06-13T17:56:09,en
"ils ratent tjrs ma commande, service client nul, je recommende pas glovo",1,2025-06-13T17:41:37,fr
a app everybody most have.,5,2025-06-13T16:57:18,en
best in delivering with no bp,5,2025-06-13T16:48:52,en
the app doesn't work properly most of the time,1,2025-06-13T16:29:23,en
"I tried several times to apply to be a courier, it keeps rejecting my document and doesn't specify a reason. there is no way to contact them.",1,2025-06-13T09:06:06,en
No way to change the address for where I want to see restaurants.,5,2025-06-13T06:52:03,en
it's a great one,5,2025-06-13T00:10:55,en
fast delivery and very reliable,5,2025-06-12T23:00:01,en
indeed it's a new technology to serve people right in there places. Unfortunately in Khouribga there is a little choice for the restaurants working with that service.,5,2025-06-12T22:09:18,en
immaculate customer service!!!,5,2025-06-12T22:09:12,ro
Delivered on time and no delivery fees on my first oder,5,2025-06-12T22:03:41,en
"does the guy,that do the orders in canarien island quit?? already one week nobody can order because all the restaurants are busy ........STRANGE SITUATION (and why the lies,I live close to one of the restaurants AND NOT ANY CLIENTS!!!)",1,2025-06-12T20:57:01,en
I keep getting issues with my pin and your delivery persons will always harass,1,2025-06-12T20:42:38,en
Great 👍,5,2025-06-12T20:01:28,en
it was so delicious I so much love it keep it up,4,2025-06-12T19:43:00,en
Good in time keeeping,5,2025-06-12T18:35:54,et
never failed me,5,2025-06-12T18:13:13,da
Love love love the app! Good good. Pay for prime guys! Pay for prime! Some limitations on location which I don't like since I can always pay more for delivery fees but I can't order past a certain radius. Has some few issues but Customer support is quick to help.,4,2025-06-12T17:51:19,en
it's the fastest app in delivery 👍,5,2025-06-12T17:22:10,en
Wrong order received (they sent meat to a vegetarian!) and then they compensate with a ridiculous 2 euros voucher. That I have to use in their app which I don't want to use anymore.,1,2025-06-12T17:10:27,en
really easy and lifesaving for a introvert like me,5,2025-06-12T15:54:26,en
fast and reliable delivery from restaurant and grocery store near you,5,2025-06-12T15:46:03,en
💯,5,2025-06-12T15:18:15,unknown
good,5,2025-06-12T14:40:04,so
jenant nu folositi. comanda plina de suc vărsat. am trimis poza cu toată punga îmbibată de suc și dezastrul făcut pe hol și nu vor sa îmi dea refund pt că nu am făcut poza cu fiecare sandwich in parte că poate sucul a evitat mâncarea și s-a dus fost sub punga. așa tratează clienții.,1,2025-06-12T13:42:11,ro
very bad app when you pay your money they take it somewhere else and charge you for something you didn't get this is stealing from people delivery guys are awesome but the worst is the client's service they hung up on me I've never seen this anywhere this is STEALING and to be ashamed of,1,2025-06-11T22:17:12,en
"insane fees, no help with issues and now shows ads",1,2025-06-11T22:06:33,en
hight cost,3,2025-06-11T21:53:04,en
2x the don't deliver the food,1,2025-06-11T20:39:33,en
friendly services and always fast and relaible,5,2025-06-11T20:10:49,en
good working,5,2025-06-11T18:47:33,af
prices are definitely not the same as restaurant,1,2025-06-11T15:25:51,en
it's likely to be scam I ordered an something for 2842 tenge including all the service and the delivery but it charges me 4181 tenge without any reason and when I try to contact there customer support there is no response and no solution so it's a scam because it's tricks you and you never know and if they listen to your problem and want to issue you a refund of the extra deducted amount it will reach you in 1 to 2 months that's how this app works so be careful,1,2025-06-11T15:03:13,en
"• Glovo failed to deliver two orders on May 19th and June 4th, 2025, and has not refunded the payments.",1,2025-06-11T09:42:40,en
i love the service very fast,5,2025-06-11T05:09:46,en
"bad support, there is no option.to contact them if your order is late... the only option you have to wait. no support",1,2025-06-11T01:55:43,en
dos veces seguidas decepcionando y dando un servicio al cliente pesimo. Les importa un comino dejarte sin cenar a las 11:30 de la noche. mejor Pagar Uber que si llega!,1,2025-06-11T00:40:20,es
the sixth time i have got missing products from carrefour and noticed i never get refunded.. this time was a big amount that's how i paid attention... شفارة,1,2025-06-11T00:39:19,en
"very bad app! missing products all the time especially recently with no support service, it seems like they are doing it on purpose because i follow the same steps all the time and they say i will be contacted with a feedback soon but nothing happens. i wish there is -0 rate since they dont deserve 1.",1,2025-06-11T00:26:54,en
"1) catfishing me to pay via global pay with a lucrative 20% discount only to ghost after inquiring twice 2) Charged me more money than what they mentioned was the total cost that was inclusive of the service charge, delivery and goods amount. Customer Support are not answering my inquiry.",1,2025-06-10T23:12:09,en
Scooter deliveries makes it very convenient for riyads,5,2025-06-10T22:32:58,en
I recommend the app for anyone who really loves to taste any kind of delicious dish ...haven't received any defaults so far its 👍 👍 👍,5,2025-06-10T21:12:03,en
"Another update, another enshitfication. Now you get ads even if you pay for Prime. Waiting for another update to take it down to 1 star",2,2025-06-10T20:54:46,en
👌🏻👌🏻,5,2025-06-10T19:06:46,unknown
Glovo is so unique with their features and excellent in their delivery,5,2025-06-10T18:47:02,en
good app,5,2025-06-10T18:31:26,en
best,5,2025-06-10T17:18:28,af
"I'd rather crawl on hot coals on all fours than ever use this pathetic excuse of a delivery app. absolute horrendous abysmal customer service. truly the worst delivery app ever created in history and will remain as the worst. Please do yourself a favor and never install it, and if you already have it installed, delete it forever.",1,2025-06-10T16:50:39,en
allow clients to share review photos of food orderes because the restaurants dont post accurate description,4,2025-06-10T16:34:56,en
good,5,2025-06-10T15:55:00,so
convenient 😃,5,2025-06-10T15:02:29,fr
excellent,5,2025-06-10T15:00:35,ca
The app got worse when the feature to contact the customer service was removed...,1,2025-06-10T14:57:33,en
nice 👍 app,5,2025-06-10T12:33:38,it
"change the way your maps work! i don't care about where the restaurant is if my delivery is closeby, so why is it automatically zooming out to show me where the restaurant is every 2 minutes instead of the rider. absolutely atrocious.",1,2025-06-10T11:20:23,en
The delivery was pretty fast but the delivery guy was very rude.,1,2025-06-10T08:13:44,en
"მოგიტყანთ დედის მუტელი, ყველაზე ყლეობა აპლიკაცია მსოფლიოში",1,2025-06-10T07:35:09,et
good,5,2025-06-10T01:19:38,so
When you're single you basically pay a penalty for not ordering enough food. Such a scam.,2,2025-06-10T00:00:03,en
fast and reliable,5,2025-06-09T23:59:53,en
very good 👍,5,2025-06-09T21:07:28,af
"I used Glovo to order groceries from Marjane (Sala Al Jadida), and I was charged immediately after placing the order. However, several items were unavailable and removed from the final delivery — and I never received a refund for them. It's frustrating that there is no automatic compensation system, and customer support is almost impossible to reach. I expected better from a service that handles payments upfront. Very disappointing experience.",1,2025-06-09T18:45:22,en
very good 😊 they delivery on time,3,2025-06-09T18:14:47,en
"they waste time if you're hungry and you need food, just know that you'll die of hunger before they bring the food",1,2025-06-09T17:27:17,en
"Absolutely terrible experience with Glovo. I waited 2 hours for my order, only to receive a call saying it's canceled because the food is cold now. Unacceptable service. If you can’t deliver, don’t take the order. Last time I’ll be using Glovo.",1,2025-06-09T16:34:19,en
good,5,2025-06-09T15:40:57,so
Ads inside an app where you already pay service fee on each order? Really?,1,2025-06-09T15:26:48,en
The Food was sooo delicious!,5,2025-06-09T15:15:51,en
Spamming almost every screen with ads even though i got a subscription!,2,2025-06-09T14:40:49,en
good 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍✅✅✅✅✅✅✅✅✅✅💯✅✅✅✅✅💯✅✅✅✅,5,2025-06-09T14:13:26,unknown
The delivery rider was excellent,5,2025-06-09T13:45:59,en
They don't separate ads from normal notifications.,1,2025-06-09T12:58:35,en
حقيقة شئ مدهش 😲 وخدمة ممتازة جربته وحبيته ما تشتهي بين يديك دافئ وفي دقائق ان شاء الله مزيد من التطور والاذدهار,5,2025-06-09T10:57:35,ar
"They won't refund me. It's been a week since they said they would and didn't glovo people are liars. I have never had my order cancelled before but this one time I did because of an unavoidable issue, they call me and say they will refund and don't. Don't trust them.",1,2025-06-09T05:34:42,en
"bad deliverers, insolent and late. products delivered in poor condition with the pack opened and cold pizza. missing product no receipt and no call from the help center.",1,2025-06-09T02:07:57,en
"delivery drivers steal food, zero customer service (waited 30 mins)",1,2025-06-08T23:48:08,en
excellent,5,2025-06-08T22:43:33,ca
"Просто не работи. Страницата на уебсайта Contact Us е празна. Няма телефон или имейл или онлайн форма с която да общувате с тях. Може да платите за една поръчка и после губите контакт с тях напълно. Предлагат ви да свалите приложението за мобилен телефон но независимо как се опитате да влезнете (SMS, Email, Google Account и т.н.) ви казва че по този начин не може. Защо са предложили няколко начина от които нито един не работи. Пак: абсолютно никакъв контакт с услуги за клиента.",1,2025-06-08T21:36:46,bg
The Best 💗,5,2025-06-08T20:54:50,en
nice,4,2025-06-08T20:39:47,pl
your delivery is on time,5,2025-06-08T19:49:01,en
I was unable to add card. Different options of payment should be made available just like chowdeck.,2,2025-06-08T19:46:08,en
great app,5,2025-06-08T19:32:09,en
მატყუარები !!!!,1,2025-06-08T19:29:27,et
"They dont refund anything , go to wolt",1,2025-06-08T19:20:47,en
the food was amazing and good time keeping,5,2025-06-08T19:17:37,en
"It's a shame that you pay €4 of service fees per delivery and have to watch ads anyway. The app and the service are full of issues. It's always a challenge to make an order. Terrible experience, not recommended. Oh, and there are no favorites in the app, as it's such a ""complex"" feature and their engineers don't even try to implement it during all these years 😂",1,2025-06-08T18:15:43,en
reliable,5,2025-06-08T18:11:06,ca
life saver 😄,5,2025-06-08T18:06:36,no
way better than Doordash or Uber in the States. Love it and everyone is so fast!,5,2025-06-08T14:56:47,en
wonderful,5,2025-06-08T14:01:22,af
Fab,5,2025-06-08T11:57:00,de
"worst application, because it's the railway of fraud, they steal my credit card because of low level of cyber security and then use my 400Gel from my card and glovo doesn't have any responsible action, so low level",1,2025-06-08T11:22:33,en
"reduceriile de pe aplicație nu sunt reale, cresc pretul produsului la valori enorme si il reduc la valor tot mari dar cu iluzia reducerii",1,2025-06-08T10:59:56,ro
Comes in handy especially when you have nowhere to get good food,5,2025-06-08T08:41:25,en
"częste problemy z dostawcami, wielu z nich nie kontaktuje ani po polsku ani po angielsku. support ignoruje zgłoszenia godzinami. zdarza się, że zamówienia nie są dostarczane",1,2025-06-08T03:41:43,pl
is this app only available to people in enugu?,1,2025-06-08T03:12:09,en
"very very bad , wrong orders and bad service clients don't use this stupid app .",1,2025-06-08T01:53:42,en
"Horrible customer support service. After a 2 hour delay, I was instructed by a customer support agent to cancel the order, while being reassured that no charges would be credited. After cancelling the order, the full amount was charged to me. After a second contact to ""specialized"" customer support I am told that unfortunately I am not eligible for a refund.",1,2025-06-07T23:45:15,en
"they ended all support in Portugal and now the problems are endless. Just ise a different service, even if it costs a bit more. if you complain about anything you just get an automated message saying thanks for the feedback, meanwhile you spent an extra 30% to get cold food that came late.",1,2025-06-07T22:47:59,en
fast and reliable,5,2025-06-07T20:46:21,en
Overpriced compared to store + delivery fee + surcharge for anything.,1,2025-06-07T20:09:36,en
I have glovo prime yet ordering through bolt or takeaway is less expensive,2,2025-06-07T19:25:10,en
amazing,5,2025-06-07T19:23:10,sw
stayed hungry and in debt.. haha terrible experience -XX KM for food that never came to me,1,2025-06-07T18:41:54,en
"Ne mogu da dodam novu karticu, Glovo izgleda ne voli Visu. A podrška? Pa nema podrške. Pa dobro, ne morate, niste jedini.",1,2025-06-07T18:07:08,hr
Ne javiš se minut nakon što te kurir pozove oni otkazu narudžbinu i neće da se jave posle. I skinu ti pare sa kartice iako nisu izvršili uslugu. Lopovčine!,1,2025-06-07T17:10:46,hr
good....,5,2025-06-07T15:08:19,so
nice nice,5,2025-06-07T14:32:42,pl
"terrible customer care, I ordered food from McDonald's. the restaurant forgot 1 double cheeseburger reported to them.. it took 2 hours to get an answer..which was ""sorry but nothing we can do.. thanks a lot and bla bla... "" was it a joke? I paid .. they didn't deliver.. I reported it and customer care ""NOTHING WE CAN DO""? really?",1,2025-06-07T14:29:14,en
very helpful.. thanks,4,2025-06-07T13:00:06,en
I love the food and they are fast😊😋,5,2025-06-07T12:38:05,en
the food is so small and tasteless. I only tried it once and I'm so disappointed... Please do better,1,2025-06-07T12:17:00,en
"it was good, now it crashes frequently, even though the app is updated, enough RAM and ROM memory, it has been weeks that the app crashes every now and then when placing big orders and scrolling products.",1,2025-06-07T11:59:05,en
perfect thank,5,2025-06-07T11:00:26,en
"Ужасный сервис по доставке. Каждый заказ с опозданием в 2 раза. Пишут 40 минут, доставка занимает полтора часа. И ладно если это одно и то же заведение опаздывает , но я заказываю в разное время , в разных местах , и каждый раз одно и то же. Так же хотел бы добавить что доставку из магазина не советую от слова совсем. Сервис берет деньги и не доставляет часть товара , после говорит что возврат 10 дней и за эти 10 дней деньги не приходят. так что сервис просто Воры.",1,2025-06-07T08:55:26,ru
good,5,2025-06-07T01:53:16,so
Unable to log in because the code doesn't arrive. why can't i just log in with my password only it's just a food app. very unhappy,1,2025-06-07T00:41:52,en
every were we are .like it,5,2025-06-06T22:38:33,af
terrible experience. refused to refund monies despite food not arriving. do not use. go elsewhere,1,2025-06-06T22:21:38,en
Consistently keeps time allocated on the platform.,5,2025-06-06T20:31:27,en
"not only is delivery generally more expensive, the delays are absurd. I have been waiting for over 2 hours for an order estimated at 80-100 minutes with no sign of actually arriving anytime soon. the store is 10 minutes away to begin with and the app wants to charge me in order to cancel the order. this is predatory and absurd, never using it again",1,2025-06-06T18:19:59,en
thank you glove,5,2025-06-06T17:47:04,en
the worst!!!!!! Slow service. Horrible customer service. Don't download!!!,1,2025-06-06T17:46:26,en
the worst delivery ever in all world,1,2025-06-06T17:41:57,en
wonderful,5,2025-06-06T17:32:36,af
good,3,2025-06-06T17:29:15,so
Glovo is amazing 🤩,5,2025-06-06T17:14:00,hr
poor costumer service,1,2025-06-06T16:58:54,pt
"avevamo ordinato il poke e continuava a dirci che faceva sempre 20 miniti di ritardo, finché non passa un ora e mezza, e dal posto in cui ordinammo vi diceva che non era arrivato nessun glovo (e siamo rimaste a digiuno)",1,2025-06-06T16:49:01,it
swift and intelligent riders that can read the map well.kudos to glovo!!,5,2025-06-06T16:27:35,en
I mean it alr,5,2025-06-06T16:07:01,en
fast,5,2025-06-06T16:04:39,it
"Ads in the app while also charging me a service fee, SERIOUSLY? Disgustingly greedy.",1,2025-06-06T15:58:30,en
"enshittification at it's finest. if you don't pay for priority delivery you can watch your food on a field trip around the city for 30 minutes, so it arrives cold and the support says ""not our problem"".",1,2025-06-06T15:50:47,en
"ні ну сервіс то прикольний, але де підтримка? майже завжди кур'єри адекватні і доставляють швидко, але ось приїхала якась бомжиха, смердить, півтори години доставки пішки з центру львову( хоче це 15 хвилин до мене) усе розлито, все в колі, каві, бургер поплив. і що з цим робити? додайте підтримку адекватну де можна словами усе описати а не ті кнопки тикати які не відповідають дійсності. Ну а поки немає такого доведеться таким кур'єрам на голову то все викидати, щоб хоч якась компенсація була",2,2025-06-06T15:16:20,uk
the glovo is Amesig issooo goood,5,2025-06-06T15:00:27,en
Quick,4,2025-06-06T14:06:45,vi
Bad and incompetent delivery riders with lack of manners,1,2025-06-06T13:37:53,en
hello I really don't noe why this app misbehaving it only brought me two restaurant options chicken tonight and KFC ..some help plizzz,1,2025-06-06T11:31:16,en
good,5,2025-06-06T09:16:44,so
too freaking lateeeeeeeeeeeeeeeeeee,1,2025-06-06T06:34:51,nl
