Store,Model,Memory,Price,Link,Details
Citrus,iPhone 16,128,37999,https://www.ctrs.com.ua/smartfony/iphone-16-128gb-pink-apple-752182.html,✔️ Apple iPhone 16 128GB Pink (MYEA3)
Rozetka,iPhone 16,128,37999,https://rozetka.com.ua/ua/apple-mye93sx-a/p448428488/,Мобільний телефон Apple iPhone 16 128GB White (MYE93SX/A)
Rozetka,iPhone 16,128,37999,https://rozetka.com.ua/ua/apple-myed3sx-a/p448428491/,Мобільний телефон Apple iPhone 16 128GB Teal (MYED3SX/A)
Rozetka,iPhone 16,128,37999,https://rozetka.com.ua/ua/apple-myec3sx-a/p448428497/,Мобільний телефон Apple iPhone 16 128GB Ultramarine (MYEC3SX/A)
Citrus,iPhone 16,128,37999,https://www.ctrs.com.ua/smartfony/iphone-16-128gb-black-apple-752183.html,✔️ Apple iPhone 16 128GB Black (MYE73)
Citrus,iPhone 16,128,37999,https://www.ctrs.com.ua/smartfony/iphone-16-128gb-teal-apple-752181.html,✔️ Apple iPhone 16 128GB Teal (MYED3)
Citrus,iPhone 16,128,37999,https://www.ctrs.com.ua/smartfony/iphone-16-128gb-white-apple-752184.html,✔️ Apple iPhone 16 128GB White (MYE93)
Rozetka,iPhone 16,128,37999,https://rozetka.com.ua/ua/apple-mye73sx-a/p448428485/,Мобільний телефон Apple iPhone 16 128GB Black (MYE73SX/A)
Rozetka,iPhone 16,128,37999,https://rozetka.com.ua/ua/apple-myea3sx-a/p448428494/,Мобільний телефон Apple iPhone 16 128GB Pink (MYEA3SX/A)
Citrus,iPhone 16,128,37999,https://www.ctrs.com.ua/smartfony/iphone-16-128gb-ultramarine-apple-752179.html,✔️ Apple iPhone 16 128GB Ultramarine (MYEC3)
Comfy,iPhone 16,128,39999,https://comfy.ua/ua/smartfon-apple-iphone-16-128gb-black.html,Смартфон Apple iPhone 16 128Gb Black
Comfy,iPhone 16,128,39999,https://comfy.ua/ua/smartfon-apple-iphone-16-128gb-teal.html,Смартфон Apple iPhone 16 128Gb Teal
Comfy,iPhone 16,128,39999,https://comfy.ua/ua/smartfon-apple-iphone-16-128gb-pink.html,Смартфон Apple iPhone 16 128Gb Pink
Comfy,iPhone 16,128,39999,https://comfy.ua/ua/smartfon-apple-iphone-16-128gb-white.html,Смартфон Apple iPhone 16 128Gb White
Comfy,iPhone 16,128,39999,https://comfy.ua/ua/smartfon-apple-iphone-16-128gb-ultramarine.html,Смартфон Apple iPhone 16 128Gb Ultramarine
Rozetka,iPhone 16,256,42899,https://rozetka.com.ua/ua/apple-myee3sx-a/p448428500/,Мобільний телефон Apple iPhone 16 256GB Black (MYEE3SX/A)
Rozetka,iPhone 16,256,42899,https://rozetka.com.ua/ua/apple-myef3sx-a/p448428503/,Мобільний телефон Apple iPhone 16 256GB White (MYEF3SX/A)
Citrus,iPhone 16,256,42899,https://www.ctrs.com.ua/smartfony/iphone-16-256gb-white-apple-752190.html,✔️ Apple iPhone 16 256GB White (MYEF3)
Citrus,iPhone 16,256,42899,https://www.ctrs.com.ua/smartfony/iphone-16-256gb-teal-apple-752188.html,✔️ Apple iPhone 16 256GB Teal (MYEJ3)
Rozetka,iPhone 16,256,42899,https://rozetka.com.ua/ua/apple-myej3sx-a/p448428506/,Мобільний телефон Apple iPhone 16 256GB Teal (MYEJ3SX/A)
Citrus,iPhone 16,256,42899,https://www.ctrs.com.ua/smartfony/iphone-16-256gb-pink-apple-752187.html,✔️ Apple iPhone 16 256GB Pink (MYEG3)
Citrus,iPhone 16,256,42899,https://www.ctrs.com.ua/smartfony/iphone-16-256gb-black-apple-752186.html,✔️ Apple iPhone 16 256GB Black (MYEE3)
Rozetka,iPhone 16,256,42899,https://rozetka.com.ua/ua/apple-myeg3sx-a/p448428509/,Мобільний телефон Apple iPhone 16 256GB Pink (MYEG3SX/A)
Rozetka,iPhone 16,256,42899,https://rozetka.com.ua/ua/apple-myeh3sx-a/p448428512/,Мобільний телефон Apple iPhone 16 256GB Ultramarine (MYEH3SX/A)
Citrus,iPhone 16,256,42899,https://www.ctrs.com.ua/smartfony/iphone-16-256gb-ultramarine-apple-752189.html,✔️ Apple iPhone 16 256GB Ultramarine (MYEH3)
Citrus,iPhone 16 Plus,128,44899,https://www.ctrs.com.ua/smartfony/iphone-16-plus-128gb-teal-apple-752203.html,✔️ Apple iPhone 16 Plus 128GB Teal (MXVY3)
Comfy,iPhone 16 Plus,128,44899,https://comfy.ua/ua/smartfon-apple-iphone-16-plus-128gb-blue.html,Смартфон Apple iPhone 16 Plus 128Gb Ultramarine
Comfy,iPhone 16 Plus,128,44899,https://comfy.ua/ua/smartfon-apple-iphone-16-plus-128gb-black.html,Смартфон Apple iPhone 16 Plus 128Gb Black
Comfy,iPhone 16 Plus,128,44899,https://comfy.ua/ua/smartfon-apple-iphone-16-plus-128gb-green.html,Смартфон Apple iPhone 16 Plus 128Gb Teal
Rozetka,iPhone 16 Plus,128,44899,https://rozetka.com.ua/ua/apple-mxvu3sx-a/p448428530/,Мобільний телефон Apple iPhone 16 Plus 128GB Black (MXVU3SX/A)
Rozetka,iPhone 16 Plus,128,44899,https://rozetka.com.ua/ua/apple-mxvv3sx-a/p448428533/,Мобільний телефон Apple iPhone 16 Plus 128GB White (MXVV3SX/A)
Citrus,iPhone 16 Plus,128,44899,https://www.ctrs.com.ua/smartfony/iphone-16-plus-128gb-ultramarine-apple-752204.html,✔️ Apple iPhone 16 Plus 128GB Ultramarine (MXVX3S)
Citrus,iPhone 16 Plus,128,44899,https://www.ctrs.com.ua/smartfony/iphone-16-plus-128gb-black-apple-752201.html,✔️ Apple iPhone 16 Plus 128GB Black (MXVU3)
Citrus,iPhone 16 Plus,128,44899,https://www.ctrs.com.ua/smartfony/iphone-16-plus-128gb-white-apple-752205.html,✔️ Apple iPhone 16 Plus 128GB White (MXVV3)
Citrus,iPhone 16 Plus,128,44899,https://www.ctrs.com.ua/smartfony/iphone-16-plus-128gb-pink-apple-752202.html,✔️ Apple iPhone 16 Plus 128GB Pink (MXVW3)
