name,addr:street,addr:housenumber,amenity,cuisine,geometry
"""Варіон"". Їдальня для малозабезпечених",,13,cafe,no_info,POINT (30.7240263 46.5001936)
12 Coffee & Croissants,,,cafe,breakfast;coffee_shop,POINT (30.7401077 46.4850977)
12 Coffee and Croissants,Львівська вулиця,15Б,cafe,no_info,POINT (30.7459354 46.4014067)
19.53,,,cafe,breakfast;international,POINT (30.7532958 46.4537162)
1981,Балківська вулиця,42,cafe,no_info,POINT (30.7084498 46.4858555)
808 BAR,,,bar,no_info,POINT (30.742278 46.4807527)
A-la Pasta,,,cafe,no_info,POINT (30.8000441 46.5824317)
Afrika,,,restaurant,no_info,POINT (30.7349869 46.483747)
Al Mezze,,,restaurant,middle_eastern;arab,POINT (30.7388973 46.485823)
Alaturka,Успенська вулиця,52,restaurant,turkish,POINT (30.7371578 46.4755909)
Alex Food,,,fast_food,no_info,POINT (30.7389171 46.467046)
Ali baba,,,cafe,no_info,POINT (30.7333521 46.4846256)
Antica Cucine,,,restaurant,no_info,POINT (30.7381166 46.4802797)
Aroma Kava,,,cafe,coffee_shop,POINT (30.7383359 46.4670149)
Aroma Kava,,,cafe,coffee_shop,POINT (30.732244 46.479755)
Aroma Kava,Привокзальна площа,,cafe,coffee,POINT (30.74166 46.4690306)
Aroma Kava,,,cafe,coffee_shop,POINT (30.7345185 46.485613)
Aroma Kava,,,cafe,coffee_shop,POINT (30.7357241 46.4837498)
Art Hall,,,restaurant,no_info,POINT (30.7633689 46.5523391)
Atelier,,,cafe,coffee_shop,POINT (30.7343914 46.4776035)
BAO. 14,,,restaurant,no_info,POINT (30.7404783 46.4860484)
BUDUSUSHI,вулиця Семена Палія,118,cafe,asian;chinese;japanese;sushi,POINT (30.8013224 46.5849355)
BUDUSUSHI,проспект Князя Володимира Великого,109а,cafe,no_info,POINT (30.7841865 46.5811656)
BUDUSUSHI,,,fast_food,asian;sushi,POINT (30.719608 46.4344044)
BUDUSUSHI,вулиця Академіка Заболотного,52,cafe,sushi;soba;coffee_shop;chinese;japanese,POINT (30.7973366 46.5786973)
BUDUSUSHI,еврейская,,fast_food,asian;sushi,POINT (30.7320305 46.4782905)
Bar Mushlya,,,bar,no_info,POINT (30.7416401 46.4873674)
Bar-B-Q,вулиця Ніни Строкатої,18,cafe,barbecue,POINT (30.7409501 46.4811731)
Beer & Meat,,,bar,no_info,POINT (30.726998 46.4010842)
Beer club,,,pub,no_info,POINT (30.7284272 46.4820064)
Bella Vermuteria,,,cafe,no_info,POINT (30.7353826 46.4893376)
Belleville,проспект Шевченка,8/3,cafe,international,POINT (30.7524465 46.4540564)
Benedikt,Садова вулиця,19,restaurant,breakfast,POINT (30.7313711 46.484983)
Benedikt,,,restaurant,international;breakfast,POINT (30.7618112 46.4301869)
Bernardazzi,вулиця Ніни Строкатої,15,restaurant,no_info,POINT (30.7433372 46.4804503)
Biella Caffe,,,cafe,ice_cream,POINT (30.7627625 46.4301433)
Big Burger,,,cafe,burger,POINT (30.7639598 46.4296296)
Bistekka,Дерибасівська вулиця,12,restaurant,no_info,POINT (30.7403484 46.4840924)
Bizon bar,,,bar,no_info,POINT (30.7398319 46.4861061)
Black Bar,,,bar,no_info,POINT (30.7390461 46.4838542)
Black Coffe,проспект Лесі Українки,15,cafe,coffee_shop,POINT (30.7478225 46.4556439)
Boffo,,,bar,no_info,POINT (30.7389573 46.4864338)
Booblik,,,cafe,no_info,POINT (30.7489379 46.4462768)
Boom Berry,,,cafe,no_info,POINT (30.732539 46.4802803)
Booze & Bakery,,,cafe,no_info,POINT (30.7402276 46.4874102)
Budapest,,,restaurant,no_info,POINT (30.7365183 46.4799978)
BuddhaPizza,,,cafe,pizza,POINT (30.7466887 46.4461329)
Budka,вулиця Семена Палія,68,cafe,coffee_shop,POINT (30.7881692 46.5663532)
Budu sushi,,,cafe,asian;sushi,POINT (30.7232881 46.3962672)
Buffalo-99,,,cafe,no_info,POINT (30.7410161 46.4829055)
Bukowski Bar,,,bar,no_info,POINT (30.7392378 46.4857786)
Buono,Соборна площа,2,restaurant,no_info,POINT (30.7309144 46.4845938)
Buzina,вулиця Владислава Бувалкіна,16а,restaurant,no_info,POINT (30.7891436 46.591525)
C&B,,,fast_food,no_info,POINT (30.7388452 46.4856019)
COMO Italy bistro,Ланжеронівська вулиця,14,restaurant,italian,POINT (30.7399831 46.4851147)
Caffeine,Успенська вулиця,2а,cafe,coffee_shop,POINT (30.7552628 46.4748531)
California Republic,Марсельська вулиця,62,fast_food,burger,POINT (30.8012722 46.5702141)
Cannoli,,,cafe,tea;cake;coffee_shop,POINT (30.739642 46.4859197)
Casa Nova,,,restaurant,no_info,POINT (30.7440261 46.483885)
Casa Romani,проспект Шевченка,7,cafe,no_info,POINT (30.7504571 46.4581111)
Cellini,,,restaurant,no_info,POINT (30.7344856 46.4783485)
Central Bar,,,bar,no_info,POINT (30.7400779 46.4873383)
Chicago,,,cafe,coffee_shop,POINT (30.7332581 46.4773081)
Chicken Company,,,cafe,no_info,POINT (30.7374839 46.4760626)
Chin Chin,,,fast_food,chinese,POINT (30.7353667 46.4782768)
Chin-Chin,,,restaurant,chinese,POINT (30.8015174 46.5842495)
Chinatown,,,restaurant,chinese,POINT (30.7308488 46.4852796)
Chinese food,,,restaurant,no_info,POINT (30.7462406 46.4381084)
City Buffet,,,cafe,no_info,POINT (30.7380369 46.4798771)
City Burger,проспект Небесної Сотні,2,cafe,burger,POINT (30.7123175 46.4156362)
City Garden,Гаванна вулиця,10,restaurant,no_info,POINT (30.7353167 46.48481)
